,Datetime,Text,hashtags,city,tokenized_tweets,date
68,2020-04-30 23:34:02+00:00,,,"Richmond, VA",[],2020-04-30
69,2020-04-30 23:34:01+00:00,I’m bored and you boys is easy peasy lemon squeezy,,"Richmond, VA","['I', '’', 'm', 'bored', 'and', 'you', 'boys', 'is', 'easy', 'peasy', 'lemon', 'squeezy']",2020-04-30
70,2020-04-30 23:33:58+00:00,whos the second one,,"Richmond, VA","['whos', 'the', 'second', 'one']",2020-04-30
71,2020-04-30 23:33:28+00:00,I might wanna see if I can start bagging y’all girlfriends,,"Richmond, VA","['I', 'might', 'wan', 'na', 'see', 'if', 'I', 'can', 'start', 'bagging', 'y', '’', 'all', 'girlfriends']",2020-04-30
72,2020-04-30 23:33:27+00:00,Gun ship,,"Richmond, VA","['Gun', 'ship']",2020-04-30
73,2020-04-30 23:33:20+00:00,"I wish I had ice cream so bad rn , today is the day of the petulant tweet abt insignificances",,"Richmond, VA","['I', 'wish', 'I', 'had', 'ice', 'cream', 'so', 'bad', 'rn', ',', 'today', 'is', 'the', 'day', 'of', 'the', 'petulant', 'tweet', 'abt', 'insignificances']",2020-04-30
74,2020-04-30 23:33:03+00:00, ,,"Richmond, VA",[],2020-04-30
75,2020-04-30 23:32:44+00:00,Well at least you’re self aware,,"Richmond, VA","['Well', 'at', 'least', 'you', '’', 're', 'self', 'aware']",2020-04-30
76,2020-04-30 23:31:50+00:00,Dont say nothing then ,,"Richmond, VA","['Dont', 'say', 'nothing', 'then']",2020-04-30
77,2020-04-30 23:31:45+00:00,mane ian tryna see no more “Im a Savage” in my timeline no more ,,"Richmond, VA","['mane', 'ian', 'tryna', 'see', 'no', 'more', '“', 'Im', 'a', 'Savage', '”', 'in', 'my', 'timeline', 'no', 'more']",2020-04-30
78,2020-04-30 23:31:28+00:00,"Malacai 3: 16 then they that feared the Lord spoke often to one another, and the Lord hearkened and heard it, and a book of remembrance was written before him,for them that feared the Lord and thought upon his name. ",,"Richmond, VA","['Malacai', '3', ':', '16', 'then', 'they', 'that', 'feared', 'the', 'Lord', 'spoke', 'often', 'to', 'one', 'another', ',', 'and', 'the', 'Lord', 'hearkened', 'and', 'heard', 'it', ',', 'and', 'a', 'book', 'of', 'remembrance', 'was', 'written', 'before', 'him', ',', 'for', 'them', 'that', 'feared', 'the', 'Lord', 'and', 'thought', 'upon', 'his', 'name', '.']",2020-04-30
79,2020-04-30 23:31:27+00:00,Get as far away from the U.S. as you can.,,"Richmond, VA","['Get', 'as', 'far', 'away', 'from', 'the', 'U.S.', 'as', 'you', 'can', '.']",2020-04-30
80,2020-04-30 23:31:03+00:00,Fordham Basketball in 4 frames,,"Richmond, VA","['Fordham', 'Basketball', 'in', '4', 'frames']",2020-04-30
81,2020-04-30 23:30:53+00:00,It seems that he deleted the tweet. I looked at it the first day that Jake tweeted it because I didn’t believe it at first. I didn’t find it from the screenshot you are referring to.,,"Richmond, VA","['It', 'seems', 'that', 'he', 'deleted', 'the', 'tweet', '.', 'I', 'looked', 'at', 'it', 'the', 'first', 'day', 'that', 'Jake', 'tweeted', 'it', 'because', 'I', 'didn', '’', 't', 'believe', 'it', 'at', 'first', '.', 'I', 'didn', '’', 't', 'find', 'it', 'from', 'the', 'screenshot', 'you', 'are', 'referring', 'to', '.']",2020-04-30
82,2020-04-30 23:30:48+00:00,nah fr tho.,,"Richmond, VA","['nah', 'fr', 'tho', '.']",2020-04-30
83,2020-04-30 23:30:43+00:00,Lmao,,"Richmond, VA",['Lmao'],2020-04-30
84,2020-04-30 23:30:41+00:00,Treason,,"Richmond, VA",['Treason'],2020-04-30
85,2020-04-30 23:30:33+00:00,These are beautiful!,,"Richmond, VA","['These', 'are', 'beautiful', '!']",2020-04-30
86,2020-04-30 23:30:29+00:00,Exploring shots #landscape #nature #photography #landscapephotography #travel #naturephotography #ig #photooftheday #sunset #sky #travelphotography #picoftheday by @NEVERSELLINOUT @Brown's Island Dam Walk https://www.instagram.com/p/B_n558zBh-n/?igshid=1l5rygjogrmu4,#landscape #nature #photography #landscapephotography #travel #naturephotography #ig #photooftheday #sunset #sky #travelphotography #picoftheday,"Richmond, VA","['Exploring', 'shots', '#', 'landscape', '#', 'nature', '#', 'photography', '#', 'landscapephotography', '#', 'travel', '#', 'naturephotography', '#', 'ig', '#', 'photooftheday', '#', 'sunset', '#', 'sky', '#', 'travelphotography', '#', 'picoftheday', 'by', '@', 'NEVERSELLINOUT', '@', 'Brown', ""'s"", 'Island', 'Dam', 'Walk', 'https', ':', '//www.instagram.com/p/B_n558zBh-n/', '?', 'igshid=1l5rygjogrmu4']",2020-04-30
87,2020-04-30 23:30:28+00:00,skjdfkfjjddkl it really kills the vibe ,,"Richmond, VA","['skjdfkfjjddkl', 'it', 'really', 'kills', 'the', 'vibe']",2020-04-30
88,2020-04-30 23:30:09+00:00,July 1,,"Richmond, VA","['July', '1']",2020-04-30
89,2020-04-30 23:29:28+00:00,Think ima make some greens tomorrow,,"Richmond, VA","['Think', 'ima', 'make', 'some', 'greens', 'tomorrow']",2020-04-30
90,2020-04-30 23:29:12+00:00,Liar. Should have a lie detector machine. https://twitter.com/KyleKashuv/status/1256002086174625793,,"Richmond, VA","['Liar', '.', 'Should', 'have', 'a', 'lie', 'detector', 'machine', '.', 'https', ':', '//twitter.com/KyleKashuv/status/1256002086174625793']",2020-04-30
91,2020-04-30 23:29:00+00:00, ,,"Richmond, VA",[],2020-04-30
92,2020-04-30 23:28:54+00:00,If you haven’t started @DaveOnFXX YOU ARE A SQUARE!!!!,,"Richmond, VA","['If', 'you', 'haven', '’', 't', 'started', '@', 'DaveOnFXX', 'YOU', 'ARE', 'A', 'SQUARE', '!', '!', '!', '!']",2020-04-30
93,2020-04-30 23:28:36+00:00,Zombies has no respect for manners...,,"Richmond, VA","['Zombies', 'has', 'no', 'respect', 'for', 'manners', '...']",2020-04-30
94,2020-04-30 23:28:22+00:00,You called me??,,"Richmond, VA","['You', 'called', 'me', '?', '?']",2020-04-30
95,2020-04-30 23:27:46+00:00,"Finding beauty at home. #stayhome @Museum District, Richmond, Virginia https://www.instagram.com/p/B_n5mD5FHiKBF8J0u82NXiKjyHSEULhYqMl5mc0/?igshid=n23aim3688ce",#stayhome #stayhome,"Richmond, VA","['Finding', 'beauty', 'at', 'home', '.', '#', 'stayhome', '@', 'Museum', 'District', ',', 'Richmond', ',', 'Virginia', 'https', ':', '//www.instagram.com/p/B_n5mD5FHiKBF8J0u82NXiKjyHSEULhYqMl5mc0/', '?', 'igshid=n23aim3688ce']",2020-04-30
96,2020-04-30 23:27:33+00:00,It looks amazing!,,"Richmond, VA","['It', 'looks', 'amazing', '!']",2020-04-30
97,2020-04-30 23:26:46+00:00,Lmaoooo,,"Richmond, VA",['Lmaoooo'],2020-04-30
98,2020-04-30 23:26:43+00:00,I see Chris Evans,,"Richmond, VA","['I', 'see', 'Chris', 'Evans']",2020-04-30
99,2020-04-30 23:26:37+00:00,I know he probably won’t see this but.. Gata....... I love you. ,,"Richmond, VA","['I', 'know', 'he', 'probably', 'won', '’', 't', 'see', 'this', 'but..', 'Gata', '...', '...', '.', 'I', 'love', 'you', '.']",2020-04-30
100,2020-04-29 23:59:48+00:00,I have to try this next time,,"Richmond, VA","['I', 'have', 'to', 'try', 'this', 'next', 'time']",2020-04-29
101,2020-04-29 23:59:44+00:00,if i wanted fame i’d choose twitter. if im about the money it’s instagram,,"Richmond, VA","['if', 'i', 'wanted', 'fame', 'i', '’', 'd', 'choose', 'twitter', '.', 'if', 'im', 'about', 'the', 'money', 'it', '’', 's', 'instagram']",2020-04-29
102,2020-04-29 23:58:09+00:00,So relateable! And how do you tell it’s good when you have nothing to compare to!,,"Richmond, VA","['So', 'relateable', '!', 'And', 'how', 'do', 'you', 'tell', 'it', '’', 's', 'good', 'when', 'you', 'have', 'nothing', 'to', 'compare', 'to', '!']",2020-04-29
103,2020-04-29 23:56:26+00:00,lol they just give you a ramen packet and some water,,"Richmond, VA","['lol', 'they', 'just', 'give', 'you', 'a', 'ramen', 'packet', 'and', 'some', 'water']",2020-04-29
104,2020-04-29 23:55:49+00:00,Yeah mines not either,,"Richmond, VA","['Yeah', 'mines', 'not', 'either']",2020-04-29
105,2020-04-29 23:55:39+00:00,"Beyoncé have OnlyFans the nod. You heaux bout to LOSE IT, ain’t it! ",,"Richmond, VA","['Beyoncé', 'have', 'OnlyFans', 'the', 'nod', '.', 'You', 'heaux', 'bout', 'to', 'LOSE', 'IT', ',', 'ain', '’', 't', 'it', '!']",2020-04-29
106,2020-04-29 23:55:22+00:00,I gotta too,,"Richmond, VA","['I', 'got', 'ta', 'too']",2020-04-29
107,2020-04-29 23:54:48+00:00,I wonder if Brett could start charging admission to his online meetings?,,"Richmond, VA","['I', 'wonder', 'if', 'Brett', 'could', 'start', 'charging', 'admission', 'to', 'his', 'online', 'meetings', '?']",2020-04-29
108,2020-04-29 23:54:44+00:00,RIP @BitchesLuvGigi,,"Richmond, VA","['RIP', '@', 'BitchesLuvGigi']",2020-04-29
109,2020-04-29 23:54:04+00:00, ,,"Richmond, VA",[],2020-04-29
110,2020-04-29 23:53:55+00:00,The Logan act? Come on.,,"Richmond, VA","['The', 'Logan', 'act', '?', 'Come', 'on', '.']",2020-04-29
111,2020-04-29 23:53:47+00:00,"The ""TRICK"" sent me",,"Richmond, VA","['The', '``', 'TRICK', ""''"", 'sent', 'me']",2020-04-29
112,2020-04-29 23:53:00+00:00,You can’t choose your parents. You can’t choose your trauma.,,"Richmond, VA","['You', 'can', '’', 't', 'choose', 'your', 'parents', '.', 'You', 'can', '’', 't', 'choose', 'your', 'trauma', '.']",2020-04-29
113,2020-04-29 23:49:57+00:00,I love sleeping in my girl’s armpit I thought I was the only one,,"Richmond, VA","['I', 'love', 'sleeping', 'in', 'my', 'girl', '’', 's', 'armpit', 'I', 'thought', 'I', 'was', 'the', 'only', 'one']",2020-04-29
114,2020-04-29 23:49:53+00:00,This is amazing.,,"Richmond, VA","['This', 'is', 'amazing', '.']",2020-04-29
115,2020-04-29 23:49:37+00:00, ,,"Richmond, VA",[],2020-04-29
116,2020-04-29 23:49:12+00:00,"SUNDAY EVENING A full day! Sweet dreams. Good night, O denizens of the ether. Be excellent to each other. @Bellevue Neighborhood https://www.instagram.com/p/B_lXQD0BzU0/?igshid=ttyxrx5qu2y0",,"Richmond, VA","['SUNDAY', 'EVENING', 'A', 'full', 'day', '!', 'Sweet', 'dreams', '.', 'Good', 'night', ',', 'O', 'denizens', 'of', 'the', 'ether', '.', 'Be', 'excellent', 'to', 'each', 'other', '.', '@', 'Bellevue', 'Neighborhood', 'https', ':', '//www.instagram.com/p/B_lXQD0BzU0/', '?', 'igshid=ttyxrx5qu2y0']",2020-04-29
117,2020-04-29 23:48:33+00:00,"MAY HE REST IN PEACE, AMEN ",,"Richmond, VA","['MAY', 'HE', 'REST', 'IN', 'PEACE', ',', 'AMEN']",2020-04-29
